Designator,Mid X,Mid Y,Layer,Rotation
C1,174.902,-92.5101,top,-90
C2,173.378,-92.5101,top,-90
C3,184.05,-80.95,top,90
C4,182.776,-86.9091,top,-90
C5,178.675,-71.625,top,0
C6,181.506,-92.5101,top,90
C7,173.468,-69.085,top,0
C8,168.134,-72.4,top,90
C9,169.658,-72.4,top,90
C10,176.68,-81.5751,top,180
C11,176.68,-80.0511,top,0
C12,170.584,-91.4811,top,0
C13,124.841,-69.469,top,90
C14,149.95,-88.55,top,0
C15,138.6192,-111.132,top,90
C16,160.325,-82.9,top,90
C17,151.323201,-65.986401,top,0
C18,162.238801,-56.7784,top,180
C19,124.9457,-78.470802,top,90
C20,159.8168,-96.266,top,-90
C21,127,-110.75,top,90
C22,125,-109,top,0
C23,123.75,-110.75,top,-90
C24,121.8,-106.55,top,-90
C25,122.5,-102.4325,top,90
C26,127,-97.25,top,90
C27,122.5,-97.25,top,-90
D1,160.8,-88.6,top,-90
D2,155.184001,-66.85,top,90
D3,156.498401,-60.7916,top,90
D4,168.436401,-60.0804,top,180
D5,135.984,-55.9779,top,0
FB1,119.175,-100.25,top,180
FB2,124.75,-96.5,top,0
FB3,124.75,-98.25,top,0
IC1,124.675,-118.05,top,-90
IC2,156.2,-73.2,top,90
IC3,160.1,-111.4,top,0
J1,191.9,-74.075,top,-90
J2,191.95,-89.85,top,-90
J3,191.9,-105.85,top,-90
J4,116.8,-91,top,90
J6,153.675,-129.7,top,0
J7,131.54,-130.46,top,0
J8,192.08,-117.37,top,90
J9,116.8075,-104.85,top,-90
J11,175.8,-47.1,top,180
J12,130.4,-47,top,180
J13,139.45,-47.05,top,180
J14,148.55,-47.05,top,180
J15,157.95,-47.05,top,180
J16,166.95,-47.1,top,180
J17,116.5,-66.929,top,-90
J19,116.5,-75.575,top,-90
L1,178.1588,-95.2463,top,-90
L2,151.780401,-69.7964,top,90
Q1,178.675,-75.181,top,0
Q2,178.675,-68.069,top,0
Q3,170.584,-86.1471,top,180
Q4,170.584,-93.7671,top,180
Q5,140.3225,-63.3569,top,180
Q6,131.064,-69.518,top,90
Q7,140.4895,-56.9639,top,90
Q8,138.052099,-77.708799,top,180
Q9,131.498899,-78.42,top,90
R1,171.055,-75.943,top,0
R2,173.468,-67.434,top,0
R3,168.134,-69.339,top,-90
R4,169.658,-69.339,top,-90
R5,179.982,-81.3211,top,-90
R6,165.87519,-90.563911,top,180
R7,181.506,-81.3211,top,-90
R8,170.584,-89.9571,top,0
R9,173.886,-83.0991,top,180
R10,170.584,-88.4331,top,180
R11,170.584,-97.5771,top,180
R12,170.584,-96.0531,top,0
R13,170.584,-82.3371,top,0
R14,145.1485,-63.9279,top,90
R15,170.584,-83.8611,top,180
R16,142.1005,-65.8969,top,0
R17,136.144,-71.692,top,-90
R18,178.4328,-110.103562,top,90
R19,175.3848,-110.103562,top,90
R20,172.3368,-110.103562,top,90
R21,169.2888,-110.103562,top,90
R22,155.641799,-85.078949,top,-90
R23,179.9568,-110.103562,top,90
R24,167.771801,-110.102562,top,90
R25,176.9088,-110.103561,top,90
R26,173.8608,-110.103562,top,90
R27,170.8128,-110.103561,top,90
R28,154.3,-103.8748,top,0
R29,154.3,-102.3,top,0
R30,140.9052,-110.37,top,180
R31,140.9052,-111.894,top,180
R32,155.025,-77.175,top,0
R33,158.05,-77.175,top,180
R34,158.536801,-67.9168,top,180
R35,158.536801,-66.3928,top,0
R36,162.188001,-60.0804,top,180
R37,157.0228,-93.3704,top,-90
R38,155.9,-112.5,top,90
R39,140.3479,-59.9297,top,0
R40,141.608099,-77.0484,top,90
R41,140.388899,-79.791599,top,0
R42,136.832899,-80.452001,top,90
R43,155.625,-79.45,top,0
R44,140.75,-83.45,top,0
R46,121.5,-111.0975,top,-90
R47,127.6525,-109,top,180
R48,122.25,-109,top,180
R49,131.5,-106,top,0
U1,172.706,-72.006,top,180
U3,149.9,-85,top,0
U4,163.091801,-104.002562,top,180
U5,146.7472,-109.1,top,0
U6,151.1808,-94.3864,top,0
U9,126,-106.25,top,180
U10,131.5,-108.5,top,0
U11,126.1,-102.5,top,0
