Designator,Mid X,Mid Y,Layer,Rotation
C1,174.902,-92.5601,top,-90
C2,173.378,-92.5601,top,-90
C3,184.05,-81,top,90
C4,182.776,-86.9591,top,-90
C5,178.675,-71.675,top,0
C6,181.506,-92.5601,top,90
C7,173.468,-69.135,top,0
C8,168.134,-72.45,top,90
C9,169.658,-72.45,top,90
C10,176.68,-81.6251,top,180
C11,176.68,-80.1011,top,0
C12,170.584,-91.5311,top,0
C13,143.525,-109.05,top,180
C14,149.95,-88.6,top,0
C16,160.325,-82.95,top,90
C17,151.323201,-66.036401,top,0
C18,162.238801,-56.8284,top,180
C19,144.25,-113.025,top,90
C20,159.8168,-96.316,top,-90
C21,127,-110.8,top,90
C22,125,-109.05,top,0
C23,123.75,-110.8,top,-90
C24,121.8,-106.6,top,-90
C25,122.5,-102.4825,top,90
C26,127,-97.3,top,90
C27,122.5,-97.3,top,-90
C28,148,-113.8,top,0
D1,160.8,-88.65,top,-90
D3,156.498401,-60.8416,top,90
FB1,119.175,-100.3,top,180
FB2,124.75,-96.55,top,0
FB3,124.75,-98.3,top,0
IC1,124.675,-118.1,top,-90
IC2,156.2,-73.25,top,90
IC3,160.1,-111.45,top,0
IC4,148.65,-110.15,top,0
J1,191.9,-74.125,top,-90
J2,191.95,-89.9,top,-90
J3,191.9,-105.9,top,-90
J4,116.8,-91.05,top,90
J6,153.675,-129.75,top,0
J7,131.54,-130.51,top,0
J8,192.08,-117.42,top,90
J9,116.8075,-104.9,top,-90
J11,175.8,-47.15,top,180
J12,130.4,-47.05,top,180
J13,139.45,-47.1,top,180
J14,148.55,-47.1,top,180
J15,157.95,-47.1,top,180
J16,166.95,-47.15,top,180
J17,116.5,-66.979,top,-90
J19,116.5,-75.625,top,-90
L1,178.1588,-95.2963,top,-90
L2,151.780401,-69.8464,top,90
Q1,178.675,-75.231,top,0
Q2,178.675,-68.119,top,0
Q3,170.584,-86.1971,top,180
Q4,170.584,-93.8171,top,180
Q6,131.064,-69.568,top,90
Q7,140.4895,-57.0139,top,90
Q9,131.498899,-78.47,top,90
R1,171.055,-75.993,top,0
R2,173.468,-67.484,top,0
R3,168.134,-69.389,top,-90
R4,169.658,-69.389,top,-90
R5,179.982,-81.3711,top,-90
R6,165.87519,-90.613911,top,180
R7,181.506,-81.3711,top,-90
R8,170.584,-90.0071,top,0
R9,173.886,-83.1491,top,180
R10,170.584,-88.4831,top,180
R11,170.584,-97.6271,top,180
R12,170.584,-96.1031,top,0
R13,170.584,-82.3871,top,0
R14,145.1485,-63.9779,top,90
R15,170.584,-83.9111,top,180
R16,142.1005,-65.9469,top,0
R17,136.144,-71.742,top,-90
R18,178.4328,-110.153562,top,90
R19,175.3848,-110.153562,top,90
R20,172.3368,-110.153562,top,90
R21,169.2888,-110.153562,top,90
R22,155.641799,-85.128949,top,-90
R23,179.9568,-110.153562,top,90
R24,167.771801,-110.152562,top,90
R25,176.9088,-110.153561,top,90
R26,173.8608,-110.153562,top,90
R27,170.8128,-110.153561,top,90
R28,154.3,-103.9248,top,0
R29,154.3,-102.35,top,0
R32,155.025,-77.225,top,0
R33,158.05,-77.225,top,180
R34,158.536801,-67.9668,top,180
R35,158.536801,-66.4428,top,0
R36,162.188001,-60.1304,top,180
R37,157.0228,-93.4204,top,-90
R38,155.9,-112.55,top,90
R39,140.3479,-59.9797,top,0
R40,141.608099,-77.0984,top,90
R41,140.388899,-79.841599,top,0
R42,136.832899,-80.502001,top,90
R43,155.625,-79.5,top,0
R44,140.75,-83.5,top,0
R45,141.25,-110.55,top,90
R46,121.5,-111.1475,top,-90
R47,127.6525,-109.05,top,180
R48,122.25,-109.05,top,180
R49,131.5,-106.05,top,0
R50,141.25,-113.55,top,90
U1,172.706,-72.056,top,180
U3,149.9,-85.05,top,0
U4,163.091801,-104.052562,top,180
U6,151.1808,-94.4364,top,0
U9,126,-106.3,top,180
U10,131.5,-108.55,top,0
U11,126.1,-102.55,top,0
D4,168.44,-60.13,top,180
D5,135.984,-56.0279,top,0
Q5,140.3225,-63.4069,top,180
Q8,138.0521,-77.7588,top,180
D2,155.184,-66.9,top,90
